,Region L1,Region L2,Region Country,Region L3,ACV (Bookings),ACV YoY %,Win Rate,BUD Attain,# of Accounts,Avg Deal Size,# of AEs,ACV per AE,# of Accounts per AE,COPA (Revenue),REV YoY %,Market YoY %,Market Share %,MS Changes (pp.),%Direct Rev Covered by CSPs,%Private Bookings Covered by CAAs,%Private Bookings Covered by PLs,%Private Bookings Covered by CDMs
0,North America,USA,USA,New York,28237,0.375856875,0.82503797,1.006427992,4,40716,3,20302,1.333333333,18679,-0.702683179,0.8841,0.2909,0.7906,0.1904,0.9357,0.1439,0.9101
1,North America,USA,USA,Los Angeles,19347,5.413780922,0.47023529,1.006427992,19,50666,14,9324,1.357142857,29228,0.071761123,0.5065,0.1691,0.1822,0.7987,0.2489,0.4772,0.0012
2,North America,USA,USA,Chicago,13861,-0.342178819,0.197074949,1.006427992,54,34046,21,71042,2.571428571,34109,1.045155594,0.5743,0.2016,0.5033,0.2645,0.3293,0.2404,0.3743
3,North America,USA,USA,Houston,88354,0.484301185,0.205549051,0.579377288,105,52244,42,20517,2.5,68812,0.485921912,0.4963,0.7036,0.4798,0.9554,0.3921,0.8705,0.2735
4,North America,USA,USA,Miami,90004,-0.9596155,0.025371547,0.579377288,23,18561,14,11049,1.642857143,69256,1.87830178,0.3819,0.2678,0.1939,0.7892,0.4607,0.4833,0.6615
5,Europe,UK,UK,London,63211,1.052904857,0.354719965,0.579377288,24,66534,13,2114,1.846153846,58562,1.109282286,0.9594,0.8141,0.4561,0.5434,0.458,0.0721,0.2603
6,Europe,France,France,Paris,11053,0.947764285,0.4305542,0.579377288,37,18631,17,89905,2.176470588,91382,0.455205659,0.0552,0.4412,0.1573,0.0065,0.3764,0.4405,0.4765
7,Europe,Germany,Germany,Berlin,35920,-0.256067424,0.102195879,0.579377288,9,87888,7,21804,1.285714286,54138,0,0.115,0.2232,0.4966,0.1147,0.5687,0.6276,0.9491
8,Europe,Italy,Italy,Rome,61314,0.157281074,0.283372161,0.906717421,58,97749,41,93932,1.414634146,80877,0.458794908,0.5993,0.8978,0.5644,0.2928,0.8608,0.0958,0.1045
9,Europe,Spain,Spain,Madrid,94388,1.421010226,0.157428996,0.906717421,53,2404,21,22514,2.523809524,15555,22.20281996,0.7152,0.4798,0.3158,0.3026,0.6004,0.6164,0.7834
10,Asia,Japan,Japan,Tokyo,42887,-0.701399954,0.067780945,0.906717421,3,89600,3,96645,1,67132,0,0.6062,0.7261,0.6541,0.6802,0.1601,0.2406,0.5503
11,Asia,South Korea,South Korea,Seoul,80302,0,0.156803655,0.906717421,16,52729,10,77852,1.6,9950,1.020852337,0.7363,0.63,0.9131,0.5371,0.3836,0.7555,0.2594
12,Asia,China,China,Beijing,6605,11.26975902,0.062127044,1.242206555,10,34050,3,79505,3.333333333,21761,0.036782077,0.8824,0.5611,0.3867,0.7629,0.6184,0.9984,0.1482
13,Asia,China,China,Shanghai,2857,1.920917419,0.292114523,1.242206555,36,62945,20,50122,1.8,55725,1.538794494,0.6416,0.6981,0.8674,0.6701,0.6155,0.6089,0.5409
14,Asia,Thailand,Thailand,Bangkok,94176,1.413578555,0.289203396,1.242206555,29,76385,12,55567,2.416666667,66653,-0.030978228,0.1937,0.1067,0.8911,0.9781,0.4178,0.2029,0.3891
15,Australia,Australia,Australia,Sydney,49447,2.418943727,0.416807302,1.242206555,28,32724,14,79772,2,49766,0.258334498,0.5764,0.5073,0.5125,0.8046,0.7537,0.1247,0.3675
16,Australia,Australia,Australia,Melbourne,58001,0.818801823,0.2727235,1.242206555,49,28645,19,29020,2.578947368,22404,0.420338657,0.0774,0.637,0.3085,0.0779,0.7827,0.4423,0.8571
17,North America,Canada,Canada,Toronto,23675,0.800763152,0.281423464,1.061415209,149,31852,43,24692,3.465116279,71610,0.760526257,0.1008,0.6598,0.9946,0.9567,0.642,0.9331,0.9801
18,North America,Canada,Canada,Vancouver,54904,-1.282560702,-0.063917513,1.061415209,11,81811,7,80380,1.571428571,70889,0.151009277,0.6955,0.1911,0.5033,0.0363,0.0401,0.3779,0.9475
19,Europe,Russia,Russia,Moscow,54624,0.069016465,0.413047187,1.061415209,24,90217,18,78377,1.333333333,84203,0.123013787,0.2678,0.4452,0.2921,0.3619,0.9933,0.7297,0.6687
20,Asia,India,India,Mumbai,48995,1.052777483,0.441232122,1.061415209,34,99812,23,91478,1.47826087,17617,0.300342845,0.8857,0.2587,0.927,0.0152,0.425,0.8171,0.5237
21,Africa,Egypt,Egypt,Cairo,33938,-0.125038886,0.13398403,1.061415209,7,10317,5,38287,1.4,45174,-0.003962766,0.8504,0.4679,0.8781,0.4583,0.9886,0.3445,0.8043
